bin,precision,recall,f1,support
0,0.5442985074626866,0.7025777366778407,0.6133920912317292,25953
1,0.33841267696050276,0.382115061803754,0.35893852246053504,26212
2,0.3376196540815907,0.3241558851372673,0.3307508099732357,25352
3,0.46443611458188716,0.3809596112966899,0.418576522845286,26344
4,0.8446497736711932,0.6800676310351306,0.7534759803513446,26615
