model,val_mae,val_rmse,test_mae,test_rmse
AssistedHistGBR,143996.0566857271,329020.870452098,158399.3258561872,304436.22230686987
AssistedRandomForest,145177.04855247246,328562.6944357633,162697.14822727564,310648.9402589529
