fold,model_family,train_rows,val_rows,rmse,rmse_mean,rmse_std,cv_pct
fold_1_2000-12-13_2006-11-24,RandomForest,44642,50806,224290.75921860474,347500.18033779156,84774.58097977849,24.39555021162072
fold_1_2000-12-13_2006-11-24,MLP,44642,50806,293533.1934892543,356658.28904265177,53909.11901680675,15.115061299012709
fold_2_2006-11-24_2012-11-04,RandomForest,95448,36453,341327.7232408502,347500.18033779156,84774.58097977849,24.39555021162072
fold_2_2006-11-24_2012-11-04,MLP,95448,36453,312845.8785792135,356658.28904265177,53909.11901680675,15.115061299012709
fold_3_2012-11-04_2018-10-16,RandomForest,131901,53297,462977.05468723364,347500.18033779156,84774.58097977849,24.39555021162072
fold_3_2012-11-04_2018-10-16,MLP,131901,53297,411278.64026229223,356658.28904265177,53909.11901680675,15.115061299012709
fold_4_2018-10-16_2024-09-27,RandomForest,185198,130470,361405.1842044775,347500.18033779156,84774.58097977849,24.39555021162072
fold_4_2018-10-16_2024-09-27,MLP,185198,130470,408975.44383984717,356658.28904265177,53909.11901680675,15.115061299012709
